game_id,move_number,move_played,piece_type,best_move,cp_loss,move_category,fen_before,score_before,score_after
e4ipnUGV,58,Ke7,King,Ke7,-3,Good,5k2/5p2/p6p/1p1RP3/5P2/b1rB4/P1P4P/1K6 b - - 0 29,20,17
e4ipnUGV,60,Rc8,Rook,Rc8,-2,Good,8/4kp2/p6p/1p2P3/3R1P2/b1rB4/P1P4P/1K6 b - - 2 30,14,12
e4ipnUGV,62,Rg8,Rook,Rg8,-2,Good,2r5/4kp2/p6p/1p2P3/4RP2/b2B4/P1P4P/1K6 b - - 4 31,4,2
e4ipnUGV,64,Rg1+,Rook,Rg2,39,Inaccuracy,6r1/4kp2/p6p/1p2P3/2P1RP2/b2B4/P6P/1K6 b - - 0 32,4,43
e4ipnUGV,66,bxc4,Pawn,Rg2+,84,Inaccuracy,8/4kp2/p6p/1p2P3/2P1RP2/b2B4/P1K4P/6r1 b - - 2 33,10,94
e4ipnUGV,68,Rg2+,Rook,f5,31,Inaccuracy,8/4kp2/p6p/4P3/2B1RP2/b7/P1K4P/6r1 b - - 0 34,87,118
e4ipnUGV,70,Bc5,Bishop,Bc5,-4,Good,8/4kp2/p6p/4P3/2B1RP2/bK6/P5rP/8 b - - 2 35,155,151
e4ipnUGV,72,Rxh2,Rook,f6,56,Inaccuracy,8/4kp2/p6p/2b1PP2/2B1R3/1K6/P5rP/8 b - - 0 36,159,215
e4ipnUGV,74,Ke8,King,Kf8,-1,Good,8/4kp2/p4P1p/2b1P3/2B1R3/1K6/P6r/8 b - - 0 37,234,233
e4ipnUGV,76,h5,Pawn,h5,35,Inaccuracy,4k3/5p2/B4P1p/2b1P3/4R3/1K6/P6r/8 b - - 0 38,227,262
e4ipnUGV,78,Rh3+,Rook,Rh3+,36,Inaccuracy,4k3/5p2/B4P2/2b1P2p/2R5/1K6/P6r/8 b - - 1 39,203,239
e4ipnUGV,80,Bf2,Bishop,Bf2,29,Good,4k3/5p2/B4P2/2b1P2p/K1R5/7r/P7/8 b - - 3 40,163,192
e4ipnUGV,82,Be3,Bishop,Rf3,218,Blunder,4k3/5p2/B4P2/4P2p/K7/7r/P1R2b2/8 b - - 5 41,146,364
VS0oxdjw,2,g6,Pawn,Nf6,18,Good,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,20,38
VS0oxdjw,4,Bg7,Bishop,c5,23,Good,rnbqkbnr/pppppp1p/6p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,44,67
VS0oxdjw,6,d6,Pawn,d6,-2,Good,rnbqk1nr/ppppppbp/6p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,56,54
VS0oxdjw,8,Nf6,Knight,Nf6,7,Good,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/4BN2/PPP2PPP/RN1QKB1R b KQkq - 1 4,52,59
VS0oxdjw,10,O-O,King,O-O,-3,Good,rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 3 5,60,57
VS0oxdjw,12,c6,Pawn,c5,62,Inaccuracy,rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2N1BN2/PPPQ1PPP/R3KB1R b KQ - 5 6,41,103
VS0oxdjw,14,d5,Pawn,b5,37,Inaccuracy,rnbq1rk1/pp2ppbp/2pp1npB/8/3PP3/2N2N2/PPPQ1PPP/R3KB1R b KQ - 1 7,91,128
